PERMNO,date,VOL,RET,BID,ASK
25785,2008-10-15,54074200,-0.061225,2.29000,2.30000
25785,2008-10-16,69338800,-0.013043,2.26000,2.27000
25785,2008-10-17,65656700,0.070485,2.43000,2.44000
25785,2008-10-20,45017600,-0.041152,2.35000,2.37000
25785,2008-10-21,51397300,-0.068669,2.18000,2.18000
25785,2008-10-22,43730200,-0.032258,2.11000,2.12000
25785,2008-10-23,71762300,-0.047619,1.99000,2.00000
25785,2008-10-24,65620300,0.005000,1.99000,2.00000
25785,2008-10-27,35720800,0.009950,2.02000,2.03000
25785,2008-10-28,58583000,0.059113,2.16000,2.17000
25785,2008-10-29,77516600,0.004651,2.11000,2.12000
25785,2008-10-30,65288100,0.055556,2.18000,2.19000
25785,2008-10-31,64683900,-0.039474,2.20000,2.21000
25785,2008-11-03,46948400,-0.027397,2.13000,2.11000
25785,2008-11-04,63304200,0.014084,2.15000,2.16000
25785,2008-11-05,51577100,-0.032407,2.09000,2.10000
25785,2008-11-06,90929800,-0.052632,1.98000,1.99000
25785,2008-11-07,93936400,0.020202,2.03000,2.04000
25785,2008-11-10,58269500,-0.044554,1.93000,1.94000
25785,2008-11-11,72504400,-0.067358,1.79000,1.80000
25785,2008-11-12,50057400,0.022222,1.85000,1.86000
25785,2008-11-13,47116900,0.032609,1.87000,1.89000
25785,2008-11-14,35717500,-0.052632,1.80000,1.81000
25785,2008-11-17,39364500,-0.044444,1.74000,1.74000
25785,2008-11-18,51758600,-0.023256,1.61000,1.62000
25785,2008-11-19,127843400,-0.250000,1.26000,1.27000
25785,2008-11-20,198781000,0.103175,1.31000,1.36000
25785,2008-11-21,132068300,0.028777,1.39000,1.42000
25785,2008-11-24,131274100,0.090909,1.50000,1.51000
25785,2008-11-25,79939100,0.064103,1.69000,1.70000
25785,2008-11-26,173058100,0.295181,2.13000,2.14000
25785,2008-11-28,119912700,0.251163,2.67000,2.68000
25785,2008-12-01,291967700,-0.052045,2.59000,2.59000
25785,2008-12-02,198491200,0.058824,2.70000,2.72000
25785,2008-12-03,152719100,0.055556,2.85000,2.86000
25785,2008-12-04,141082400,-0.066667,2.65000,2.66000
25785,2008-12-05,99142700,0.022556,2.70000,2.71000
25785,2008-12-08,268401600,0.242647,3.33000,3.34000
25785,2008-12-09,137983600,-0.044379,3.24000,3.25000
25785,2008-12-10,141351200,0.006192,3.20000,3.21000
25785,2008-12-11,93237900,-0.107692,2.96000,2.98000
25785,2008-12-12,211193500,0.048276,3.03000,3.05000
25785,2008-12-15,69780400,0.046053,3.17000,3.18000
25785,2008-12-16,60155400,-0.015723,3.13000,3.14000
25785,2008-12-17,52372300,0.003195,3.13000,3.14000
25785,2008-12-18,109048100,-0.095541,2.83000,2.84000
25785,2008-12-19,143961700,0.038732,2.89000,2.90000
25785,2008-12-22,67680600,-0.122034,2.60000,2.60000
25785,2008-12-23,103763800,-0.154440,2.18000,2.20000
25785,2008-12-24,37181700,-0.036530,2.11000,2.12000
25785,2008-12-26,40804300,0.085308,2.28000,2.29000
25785,2008-12-29,47049600,-0.030568,2.20000,2.21000
25785,2008-12-30,39314900,0.031532,2.28000,2.29000
25785,2008-12-31,39815500,0.000000,2.23000,2.25000
25785,2009-01-02,42108600,0.074236,2.43000,2.44000
25785,2009-01-05,73093200,0.048780,2.58000,2.58000
25785,2009-01-06,58984200,0.069767,2.75000,2.76000
25785,2009-01-07,43956900,-0.025362,2.67000,2.69000
25785,2009-01-08,51174500,0.000000,2.67000,2.68000
25785,2009-01-09,39852200,-0.022305,2.62000,2.62000
25785,2009-01-12,47710700,0.003802,2.64000,2.65000
25785,2009-01-13,40498600,-0.060606,2.46000,2.47000
25785,2009-01-14,56700200,-0.088710,2.25000,2.26000
25785,2009-01-15,69606100,-0.013274,2.23000,2.25000
25785,2009-01-16,60093200,-0.017937,2.16000,2.17000
25785,2009-01-20,51661900,-0.027397,2.09000,2.10000
25785,2009-01-21,75365100,-0.018779,2.08000,2.09000
25785,2009-01-22,52683400,-0.071770,1.93000,1.94000
25785,2009-01-23,71025700,-0.072165,1.83000,1.84000
25785,2009-01-26,50932900,0.077778,1.95000,1.96000
25785,2009-01-27,31192700,0.015464,1.96000,1.97000
25785,2009-01-28,34912300,0.030457,2.00000,2.03000
25785,2009-01-29,30993300,-0.039409,1.95000,1.96000
25785,2009-01-30,35479900,-0.041026,1.87000,1.88000
25785,2009-02-02,32303700,0.005348,1.88000,1.90000
25785,2009-02-03,34119500,0.042553,1.95000,1.96000
25785,2009-02-04,24203600,-0.005102,1.94000,1.95000
25785,2009-02-05,17335000,-0.010256,1.92000,1.94000
25785,2009-02-06,21389600,0.005181,1.93000,1.93000
25785,2009-02-09,27266800,-0.020619,1.89000,1.90000
25785,2009-02-10,28273800,-0.042105,1.82000,1.83000
25785,2009-02-11,30225000,0.016484,1.84000,1.85000
25785,2009-02-12,23422500,-0.032432,1.78000,1.79000
25785,2009-02-13,23009400,-0.016760,1.75000,1.76000
25785,2009-02-17,32860200,-0.039773,1.68000,1.69000
25785,2009-02-18,25058500,-0.011834,1.66000,1.67000
25785,2009-02-19,19034200,-0.023952,1.62000,1.63000
25785,2009-02-20,37900500,-0.030675,1.57000,1.58000
25785,2009-02-23,44460500,0.094937,1.72000,1.73000
25785,2009-02-24,35167900,0.156069,1.97000,1.99000
25785,2009-02-25,54369700,0.005000,2.00000,2.01000
25785,2009-02-26,32316500,-0.014925,1.98000,1.99000
25785,2009-02-27,31515500,0.010101,1.97000,1.97000
25785,2009-03-02,19605500,-0.060000,1.87000,1.88000
